,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
165,166,The Legacy Of Dr. Death: Black File,"$6,024,046 ",-,-,"$6,024,046 ",100%
166,167,The Rhythm Section,"$5,989,583 ","$5,437,971 ",90.80%,"$551,612 ",9.20%
167,168,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729 ",-,-,"$5,975,729 ",100%
168,169,A Piece of Cake,"$5,956,046 ",-,-,"$5,956,046 ",100%
169,170,The Lion King 2020 Re-release,"$5,948,352 ",-,-,"$5,948,352 ",100%
170,171,Twiceborn,"$5,880,157 ","$11,527 ",0.20%,"$5,868,630 ",99.80%
171,172,The Royal Bride,"$5,830,719 ",-,-,"$5,830,719 ",100%
172,173,Beasts Clawing at Straws,"$5,796,059 ",-,-,"$5,796,059 ",100%
173,174,Last Letter,"$5,663,972 ",-,-,"$5,663,972 ",100%
174,175,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218 ",-,-,"$5,624,218 ",100%
175,176,Hocus Pocus 2020 Re-release,"$5,609,193 ","$4,828,000 ",86.10%,"$781,193 ",13.90%
176,177,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147 ",-,-,"$5,543,147 ",100%
177,178,Mama Weed,"$5,460,237 ","$29,151 ",0.50%,"$5,431,086 ",99.50%
178,179,Divorce Club,"$5,316,313 ",-,-,"$5,316,313 ",100%
179,180,Cats & Dogs 3: Paws Unite,"$5,270,750 ",-,-,"$5,270,750 ",100%
180,181,Cindy la Regia,"$5,222,322 ",-,-,"$5,222,322 ",100%
181,182,Run,"$5,184,368 ",-,-,"$5,184,368 ",100%
182,183,Love Aaj Kal,"$5,120,794 ",-,-,"$5,120,794 ",100%
183,184,Masked Ward,"$5,107,013 ",-,-,"$5,107,013 ",100%
184,185,Ayyappanum Koshiyum,"$5,088,713 ",-,-,"$5,088,713 ",100%
185,186,Baba Parasi,"$5,084,342 ",-,-,"$5,084,342 ",100%
186,187,Die Känguru-Chroniken,"$5,081,127 ",-,-,"$5,081,127 ",100%
187,188,The Real Exorcist,"$5,035,830 ",-,-,"$5,035,830 ",100%
188,189,Mayday,"$5,011,408 ",-,-,"$5,011,408 ",100%
189,190,Bheeshma,"$4,997,080 ",-,-,"$4,997,080 ",100%
190,191,Made in Abyss: Dawn of the Deep Soul,"$4,971,635 ",-,-,"$4,971,635 ",100%
191,192,Godai - The Wunderkind,"$4,948,225 ",-,-,"$4,948,225 ",100%
192,193,L'Innocente,"$4,918,859 ","$22,549 ",0.50%,"$4,896,310 ",99.50%
193,194,Military Wives,"$4,890,505 ",-,-,"$4,890,505 ",100%
194,195,Panga,"$4,886,124 ","$582,720 ",11.90%,"$4,303,404 ",88.10%
195,196,The Tales for Old and Young,"$4,853,143 ",-,-,"$4,853,143 ",100%
196,197,Streltsov,"$4,850,073 ",-,-,"$4,850,073 ",100%
197,198,The SpongeBob Movie: Sponge on the Run,"$4,810,790 ","$4,810,790 ",100%,-,-
198,199,The Empty Man,"$4,796,993 ","$2,992,948 ",62.40%,"$1,804,045 ",37.60%
199,200,The Vets,"$4,788,826 ",-,-,"$4,788,826 ",100%
